Time (s),X (m),Y (m),Velocity (m/s),Phase
2.633,0.3040,0.6970,0.3500,Traveling to Crop Plot
2.683,0.2887,0.7055,0.3500,Traveling to Crop Plot
2.733,0.2734,0.7140,0.3500,Traveling to Crop Plot
2.783,0.2581,0.7225,0.3500,Traveling to Crop Plot
2.833,0.2428,0.7309,0.3500,Traveling to Crop Plot
2.883,0.2275,0.7394,0.3500,Traveling to Crop Plot
2.933,0.2121,0.7479,0.3500,Traveling to Crop Plot
2.983,0.1968,0.7564,0.3500,Traveling to Crop Plot
3.008,0.1893,0.7605,0.3500,Traveling to Crop Plot
3.058,0.1747,0.7687,0.3200,Traveling to Crop Plot
3.108,0.1613,0.7760,0.2900,Traveling to Crop Plot
3.158,0.1493,0.7827,0.2600,Traveling to Crop Plot
3.208,0.1386,0.7886,0.2300,Traveling to Crop Plot
3.258,0.1292,0.7939,0.2000,Traveling to Crop Plot
3.308,0.1211,0.7983,0.1700,Traveling to Crop Plot
3.358,0.1143,0.8021,0.1400,Traveling to Crop Plot
3.408,0.1088,0.8051,0.1100,Traveling to Crop Plot
3.458,0.1047,0.8074,0.0800,Traveling to Crop Plot
3.508,0.1018,0.8090,0.0500,Traveling to Crop Plot
3.558,0.1003,0.8098,0.0200,Traveling to Crop Plot
3.608,0.1000,0.8100,0.0000,Planting Seeds
3.658,0.1000,0.8100,0.0000,Planting Seeds
3.708,0.1000,0.8100,0.0000,Planting Seeds
3.758,0.1000,0.8100,0.0000,Planting Seeds
3.808,0.1000,0.8100,0.0000,Planting Seeds
3.858,0.1000,0.8100,0.0000,Planting Seeds
3.908,0.1000,0.8100,0.0000,Planting Seeds
3.958,0.1000,0.8100,0.0000,Planting Seeds
4.008,0.1000,0.8100,0.0000,Planting Seeds
4.058,0.1000,0.8100,0.0000,Planting Seeds
4.108,0.1000,0.8100,0.0000,Planting Seeds
4.158,0.1000,0.8100,0.0000,Planting Seeds
4.208,0.1000,0.8100,0.0000,Planting Seeds
4.258,0.1000,0.8100,0.0000,Planting Seeds
4.308,0.1000,0.8100,0.0000,Planting Seeds
4.358,0.1000,0.8100,0.0000,Planting Seeds
4.408,0.1000,0.8100,0.0000,Planting Seeds
4.458,0.1000,0.8100,0.0000,Planting Seeds
4.508,0.1000,0.8100,0.0000,Planting Seeds
4.558,0.1000,0.8100,0.0000,Planting Seeds
4.608,0.1000,0.8100,0.0000,Planting Seeds
4.658,0.1000,0.8100,0.0000,Planting Seeds
4.708,0.1000,0.8100,0.0000,Planting Seeds
4.758,0.1000,0.8100,0.0000,Planting Seeds
4.808,0.1000,0.8100,0.0000,Planting Seeds
4.858,0.1000,0.8100,0.0000,Planting Seeds
4.908,0.1000,0.8100,0.0000,Planting Seeds
4.958,0.1000,0.8100,0.0000,Planting Seeds
5.008,0.1000,0.8100,0.0000,Planting Seeds
5.058,0.1000,0.8100,0.0000,Planting Seeds
5.108,0.1000,0.8100,0.0000,Planting Seeds
5.158,0.1000,0.8100,0.0000,Planting Seeds
5.208,0.1000,0.8100,0.0000,Planting Seeds
5.258,0.1000,0.8100,0.0000,Planting Seeds
5.308,0.1000,0.8100,0.0000,Planting Seeds
5.358,0.1000,0.8100,0.0000,Planting Seeds
5.408,0.1000,0.8100,0.0000,Planting Seeds
5.458,0.1000,0.8100,0.0000,Planting Seeds
5.508,0.1000,0.8100,0.0000,Planting Seeds
5.558,0.1000,0.8100,0.0000,Planting Seeds
5.608,0.1000,0.8100,0.0000,Planting Seeds
5.658,0.1000,0.8100,0.0000,Planting Seeds
5.708,0.1000,0.8100,0.0000,Planting Seeds
5.758,0.1000,0.8100,0.0000,Planting Seeds
5.808,0.1000,0.8100,0.0000,Planting Seeds
5.858,0.1000,0.8100,0.0000,Planting Seeds
5.908,0.1000,0.8100,0.0000,Planting Seeds
5.958,0.1000,0.8100,0.0000,Planting Seeds
6.008,0.1000,0.8100,0.0000,Planting Seeds
6.058,0.1000,0.8100,0.0000,Planting Seeds
6.108,0.1000,0.8100,0.0000,Planting Seeds
6.158,0.1000,0.8100,0.0000,Planting Seeds
6.208,0.1000,0.8100,0.0000,Planting Seeds
6.258,0.1000,0.8100,0.0000,Planting Seeds
6.308,0.1000,0.8100,0.0000,Planting Seeds
6.358,0.1000,0.8100,0.0000,Planting Seeds
6.408,0.1000,0.8100,0.0000,Planting Seeds
6.458,0.1000,0.8100,0.0000,Planting Seeds
6.508,0.1000,0.8100,0.0000,Planting Seeds
6.558,0.1000,0.8100,0.0000,Planting Seeds
6.558,0.1000,0.8100,0.0000,Traveling to Crop Plot
6.608,0.1000,0.8108,0.0300,Traveling to Crop Plot
6.658,0.1000,0.8130,0.0600,Traveling to Crop Plot
6.708,0.1000,0.8168,0.0900,Traveling to Crop Plot
6.758,0.1000,0.8220,0.1200,Traveling to Crop Plot
6.808,0.1000,0.8288,0.1500,Traveling to Crop Plot
6.858,0.1000,0.8370,0.1800,Traveling to Crop Plot
6.908,0.1000,0.8468,0.2100,Traveling to Crop Plot
6.958,0.1000,0.8580,0.2400,Traveling to Crop Plot
7.008,0.1000,0.8708,0.2700,Traveling to Crop Plot
7.029,0.1000,0.8765,0.2825,Traveling to Crop Plot
7.079,0.1000,0.8899,0.2525,Traveling to Crop Plot
7.129,0.1000,0.9017,0.2225,Traveling to Crop Plot
7.179,0.1000,0.9121,0.1925,Traveling to Crop Plot
7.229,0.1000,0.9210,0.1625,Traveling to Crop Plot
7.279,0.1000,0.9284,0.1325,Traveling to Crop Plot
7.329,0.1000,0.9342,0.1025,Traveling to Crop Plot
7.379,0.1000,0.9386,0.0725,Traveling to Crop Plot
7.429,0.1000,0.9415,0.0425,Traveling to Crop Plot
7.479,0.1000,0.9429,0.0125,Traveling to Crop Plot
7.529,0.1000,0.9430,0.0000,Planting Seeds
7.579,0.1000,0.9430,0.0000,Planting Seeds
7.629,0.1000,0.9430,0.0000,Planting Seeds
7.679,0.1000,0.9430,0.0000,Planting Seeds
7.729,0.1000,0.9430,0.0000,Planting Seeds
7.779,0.1000,0.9430,0.0000,Planting Seeds
7.829,0.1000,0.9430,0.0000,Planting Seeds
7.879,0.1000,0.9430,0.0000,Planting Seeds
7.929,0.1000,0.9430,0.0000,Planting Seeds
7.979,0.1000,0.9430,0.0000,Planting Seeds
8.029,0.1000,0.9430,0.0000,Planting Seeds
8.079,0.1000,0.9430,0.0000,Planting Seeds
8.129,0.1000,0.9430,0.0000,Planting Seeds
8.179,0.1000,0.9430,0.0000,Planting Seeds
8.229,0.1000,0.9430,0.0000,Planting Seeds
8.279,0.1000,0.9430,0.0000,Planting Seeds
8.329,0.1000,0.9430,0.0000,Planting Seeds
8.379,0.1000,0.9430,0.0000,Planting Seeds
8.429,0.1000,0.9430,0.0000,Planting Seeds
8.479,0.1000,0.9430,0.0000,Planting Seeds
8.529,0.1000,0.9430,0.0000,Planting Seeds
8.579,0.1000,0.9430,0.0000,Planting Seeds
8.629,0.1000,0.9430,0.0000,Planting Seeds
8.679,0.1000,0.9430,0.0000,Planting Seeds
8.729,0.1000,0.9430,0.0000,Planting Seeds
8.779,0.1000,0.9430,0.0000,Planting Seeds
8.829,0.1000,0.9430,0.0000,Planting Seeds
8.879,0.1000,0.9430,0.0000,Planting Seeds
8.929,0.1000,0.9430,0.0000,Planting Seeds
8.979,0.1000,0.9430,0.0000,Planting Seeds
9.029,0.1000,0.9430,0.0000,Planting Seeds
9.079,0.1000,0.9430,0.0000,Planting Seeds
9.129,0.1000,0.9430,0.0000,Planting Seeds
9.179,0.1000,0.9430,0.0000,Planting Seeds
9.229,0.1000,0.9430,0.0000,Planting Seeds
9.279,0.1000,0.9430,0.0000,Planting Seeds
9.329,0.1000,0.9430,0.0000,Planting Seeds
9.379,0.1000,0.9430,0.0000,Planting Seeds
9.429,0.1000,0.9430,0.0000,Planting Seeds
9.479,0.1000,0.9430,0.0000,Planting Seeds
9.529,0.1000,0.9430,0.0000,Planting Seeds
9.579,0.1000,0.9430,0.0000,Planting Seeds
9.629,0.1000,0.9430,0.0000,Planting Seeds
9.679,0.1000,0.9430,0.0000,Planting Seeds
9.729,0.1000,0.9430,0.0000,Planting Seeds
9.779,0.1000,0.9430,0.0000,Planting Seeds
9.829,0.1000,0.9430,0.0000,Planting Seeds
9.879,0.1000,0.9430,0.0000,Planting Seeds
9.929,0.1000,0.9430,0.0000,Planting Seeds
9.979,0.1000,0.9430,0.0000,Planting Seeds
10.029,0.1000,0.9430,0.0000,Planting Seeds
10.079,0.1000,0.9430,0.0000,Planting Seeds
10.129,0.1000,0.9430,0.0000,Planting Seeds
10.179,0.1000,0.9430,0.0000,Planting Seeds
10.229,0.1000,0.9430,0.0000,Planting Seeds
10.279,0.1000,0.9430,0.0000,Planting Seeds
10.329,0.1000,0.9430,0.0000,Planting Seeds
10.379,0.1000,0.9430,0.0000,Planting Seeds
10.429,0.1000,0.9430,0.0000,Planting Seeds
10.479,0.1000,0.9430,0.0000,Planting Seeds
10.479,0.1000,0.9430,0.0000,Traveling to Crop Plot
10.529,0.1000,0.9437,0.0300,Traveling to Crop Plot
10.579,0.1000,0.9460,0.0600,Traveling to Crop Plot
10.629,0.1000,0.9497,0.0900,Traveling to Crop Plot
10.679,0.1000,0.9550,0.1200,Traveling to Crop Plot
10.729,0.1000,0.9617,0.1500,Traveling to Crop Plot
10.779,0.1000,0.9700,0.1800,Traveling to Crop Plot
10.829,0.1000,0.9797,0.2100,Traveling to Crop Plot
10.879,0.1000,0.9910,0.2400,Traveling to Crop Plot
10.929,0.1000,1.0037,0.2700,Traveling to Crop Plot
10.950,0.1000,1.0095,0.2825,Traveling to Crop Plot
11.000,0.1000,1.0229,0.2525,Traveling to Crop Plot
11.050,0.1000,1.0347,0.2225,Traveling to Crop Plot
11.100,0.1000,1.0451,0.1925,Traveling to Crop Plot
11.150,0.1000,1.0540,0.1625,Traveling to Crop Plot
11.200,0.1000,1.0614,0.1325,Traveling to Crop Plot
11.250,0.1000,1.0672,0.1025,Traveling to Crop Plot
11.300,0.1000,1.0716,0.0725,Traveling to Crop Plot
11.350,0.1000,1.0745,0.0425,Traveling to Crop Plot
11.400,0.1000,1.0759,0.0125,Traveling to Crop Plot
11.450,0.1000,1.0760,0.0000,Planting Seeds
11.500,0.1000,1.0760,0.0000,Planting Seeds
11.550,0.1000,1.0760,0.0000,Planting Seeds
11.600,0.1000,1.0760,0.0000,Planting Seeds
11.650,0.1000,1.0760,0.0000,Planting Seeds
11.700,0.1000,1.0760,0.0000,Planting Seeds
11.750,0.1000,1.0760,0.0000,Planting Seeds
11.800,0.1000,1.0760,0.0000,Planting Seeds
11.850,0.1000,1.0760,0.0000,Planting Seeds
11.900,0.1000,1.0760,0.0000,Planting Seeds
11.950,0.1000,1.0760,0.0000,Planting Seeds
12.000,0.1000,1.0760,0.0000,Planting Seeds
12.050,0.1000,1.0760,0.0000,Planting Seeds
12.100,0.1000,1.0760,0.0000,Planting Seeds
12.150,0.1000,1.0760,0.0000,Planting Seeds
12.200,0.1000,1.0760,0.0000,Planting Seeds
12.250,0.1000,1.0760,0.0000,Planting Seeds
12.300,0.1000,1.0760,0.0000,Planting Seeds
12.350,0.1000,1.0760,0.0000,Planting Seeds
12.400,0.1000,1.0760,0.0000,Planting Seeds
12.450,0.1000,1.0760,0.0000,Planting Seeds
12.500,0.1000,1.0760,0.0000,Planting Seeds
12.550,0.1000,1.0760,0.0000,Planting Seeds
12.600,0.1000,1.0760,0.0000,Planting Seeds
12.650,0.1000,1.0760,0.0000,Planting Seeds
12.700,0.1000,1.0760,0.0000,Planting Seeds
12.750,0.1000,1.0760,0.0000,Planting Seeds
12.800,0.1000,1.0760,0.0000,Planting Seeds
12.850,0.1000,1.0760,0.0000,Planting Seeds
12.900,0.1000,1.0760,0.0000,Planting Seeds
12.950,0.1000,1.0760,0.0000,Planting Seeds
13.000,0.1000,1.0760,0.0000,Planting Seeds
13.050,0.1000,1.0760,0.0000,Planting Seeds
13.100,0.1000,1.0760,0.0000,Planting Seeds
13.150,0.1000,1.0760,0.0000,Planting Seeds
13.200,0.1000,1.0760,0.0000,Planting Seeds
13.250,0.1000,1.0760,0.0000,Planting Seeds
13.300,0.1000,1.0760,0.0000,Planting Seeds
13.350,0.1000,1.0760,0.0000,Planting Seeds
13.400,0.1000,1.0760,0.0000,Planting Seeds
13.450,0.1000,1.0760,0.0000,Planting Seeds
13.500,0.1000,1.0760,0.0000,Planting Seeds
13.550,0.1000,1.0760,0.0000,Planting Seeds
13.600,0.1000,1.0760,0.0000,Planting Seeds
13.650,0.1000,1.0760,0.0000,Planting Seeds
13.700,0.1000,1.0760,0.0000,Planting Seeds
13.750,0.1000,1.0760,0.0000,Planting Seeds
13.800,0.1000,1.0760,0.0000,Planting Seeds
13.850,0.1000,1.0760,0.0000,Planting Seeds
13.900,0.1000,1.0760,0.0000,Planting Seeds
13.950,0.1000,1.0760,0.0000,Planting Seeds
14.000,0.1000,1.0760,0.0000,Planting Seeds
14.050,0.1000,1.0760,0.0000,Planting Seeds
14.100,0.1000,1.0760,0.0000,Planting Seeds
14.150,0.1000,1.0760,0.0000,Planting Seeds
14.200,0.1000,1.0760,0.0000,Planting Seeds
14.250,0.1000,1.0760,0.0000,Planting Seeds
14.300,0.1000,1.0760,0.0000,Planting Seeds
14.350,0.1000,1.0760,0.0000,Planting Seeds
14.400,0.1000,1.0760,0.0000,Planting Seeds
14.400,0.1000,1.0760,0.0000,Traveling to Crop Plot
14.450,0.1008,1.0760,0.0300,Traveling to Crop Plot
14.500,0.1030,1.0760,0.0600,Traveling to Crop Plot
14.550,0.1068,1.0760,0.0900,Traveling to Crop Plot
14.600,0.1120,1.0760,0.1200,Traveling to Crop Plot
14.650,0.1188,1.0760,0.1500,Traveling to Crop Plot
14.700,0.1270,1.0760,0.1800,Traveling to Crop Plot
14.750,0.1367,1.0760,0.2100,Traveling to Crop Plot
14.800,0.1480,1.0760,0.2400,Traveling to Crop Plot
14.850,0.1608,1.0760,0.2700,Traveling to Crop Plot
14.900,0.1750,1.0760,0.3000,Traveling to Crop Plot
14.900,0.1750,1.0760,0.3000,Traveling to Crop Plot
14.950,0.1893,1.0760,0.2700,Traveling to Crop Plot
15.000,0.2020,1.0760,0.2400,Traveling to Crop Plot
15.050,0.2132,1.0760,0.2100,Traveling to Crop Plot
15.100,0.2230,1.0760,0.1800,Traveling to Crop Plot
15.150,0.2313,1.0760,0.1500,Traveling to Crop Plot
15.200,0.2380,1.0760,0.1200,Traveling to Crop Plot
15.250,0.2432,1.0760,0.0900,Traveling to Crop Plot
15.300,0.2470,1.0760,0.0600,Traveling to Crop Plot
15.350,0.2492,1.0760,0.0300,Traveling to Crop Plot
15.400,0.2500,1.0760,0.0000,Traveling to Crop Plot
15.450,0.2500,1.0760,0.0000,Planting Seeds
15.500,0.2500,1.0760,0.0000,Planting Seeds
15.550,0.2500,1.0760,0.0000,Planting Seeds
15.600,0.2500,1.0760,0.0000,Planting Seeds
15.650,0.2500,1.0760,0.0000,Planting Seeds
15.700,0.2500,1.0760,0.0000,Planting Seeds
15.750,0.2500,1.0760,0.0000,Planting Seeds
15.800,0.2500,1.0760,0.0000,Planting Seeds
15.850,0.2500,1.0760,0.0000,Planting Seeds
15.900,0.2500,1.0760,0.0000,Planting Seeds
15.950,0.2500,1.0760,0.0000,Planting Seeds
16.000,0.2500,1.0760,0.0000,Planting Seeds
16.050,0.2500,1.0760,0.0000,Planting Seeds
16.100,0.2500,1.0760,0.0000,Planting Seeds
16.150,0.2500,1.0760,0.0000,Planting Seeds
16.200,0.2500,1.0760,0.0000,Planting Seeds
16.250,0.2500,1.0760,0.0000,Planting Seeds
16.300,0.2500,1.0760,0.0000,Planting Seeds
16.350,0.2500,1.0760,0.0000,Planting Seeds
16.400,0.2500,1.0760,0.0000,Planting Seeds
16.450,0.2500,1.0760,0.0000,Planting Seeds
16.500,0.2500,1.0760,0.0000,Planting Seeds
16.550,0.2500,1.0760,0.0000,Planting Seeds
16.600,0.2500,1.0760,0.0000,Planting Seeds
16.650,0.2500,1.0760,0.0000,Planting Seeds
16.700,0.2500,1.0760,0.0000,Planting Seeds
16.750,0.2500,1.0760,0.0000,Planting Seeds
16.800,0.2500,1.0760,0.0000,Planting Seeds
16.850,0.2500,1.0760,0.0000,Planting Seeds
16.900,0.2500,1.0760,0.0000,Planting Seeds
16.950,0.2500,1.0760,0.0000,Planting Seeds
17.000,0.2500,1.0760,0.0000,Planting Seeds
17.050,0.2500,1.0760,0.0000,Planting Seeds
17.100,0.2500,1.0760,0.0000,Planting Seeds
17.150,0.2500,1.0760,0.0000,Planting Seeds
17.200,0.2500,1.0760,0.0000,Planting Seeds
17.250,0.2500,1.0760,0.0000,Planting Seeds
17.300,0.2500,1.0760,0.0000,Planting Seeds
17.350,0.2500,1.0760,0.0000,Planting Seeds
17.400,0.2500,1.0760,0.0000,Planting Seeds
17.450,0.2500,1.0760,0.0000,Planting Seeds
17.500,0.2500,1.0760,0.0000,Planting Seeds
17.550,0.2500,1.0760,0.0000,Planting Seeds
17.600,0.2500,1.0760,0.0000,Planting Seeds
17.650,0.2500,1.0760,0.0000,Planting Seeds
17.700,0.2500,1.0760,0.0000,Planting Seeds
17.750,0.2500,1.0760,0.0000,Planting Seeds
17.800,0.2500,1.0760,0.0000,Planting Seeds
17.850,0.2500,1.0760,0.0000,Planting Seeds
17.900,0.2500,1.0760,0.0000,Planting Seeds
17.950,0.2500,1.0760,0.0000,Planting Seeds
18.000,0.2500,1.0760,0.0000,Planting Seeds
18.050,0.2500,1.0760,0.0000,Planting Seeds
18.100,0.2500,1.0760,0.0000,Planting Seeds
18.150,0.2500,1.0760,0.0000,Planting Seeds
18.200,0.2500,1.0760,0.0000,Planting Seeds
18.250,0.2500,1.0760,0.0000,Planting Seeds
18.300,0.2500,1.0760,0.0000,Planting Seeds
18.350,0.2500,1.0760,0.0000,Planting Seeds
18.400,0.2500,1.0760,0.0000,Planting Seeds
18.400,0.2500,1.0760,0.0000,Traveling to Crop Plot
18.450,0.2500,1.0753,0.0300,Traveling to Crop Plot
18.500,0.2500,1.0730,0.0600,Traveling to Crop Plot
18.550,0.2500,1.0693,0.0900,Traveling to Crop Plot
18.600,0.2500,1.0640,0.1200,Traveling to Crop Plot
18.650,0.2500,1.0573,0.1500,Traveling to Crop Plot
18.700,0.2500,1.0490,0.1800,Traveling to Crop Plot
18.750,0.2500,1.0393,0.2100,Traveling to Crop Plot
18.800,0.2500,1.0280,0.2400,Traveling to Crop Plot
18.850,0.2500,1.0152,0.2700,Traveling to Crop Plot
18.870,0.2500,1.0095,0.2825,Traveling to Crop Plot
18.920,0.2500,0.9961,0.2525,Traveling to Crop Plot
18.970,0.2500,0.9843,0.2225,Traveling to Crop Plot
19.020,0.2500,0.9739,0.1925,Traveling to Crop Plot
19.070,0.2500,0.9650,0.1625,Traveling to Crop Plot
19.120,0.2500,0.9576,0.1325,Traveling to Crop Plot
19.170,0.2500,0.9518,0.1025,Traveling to Crop Plot
19.220,0.2500,0.9474,0.0725,Traveling to Crop Plot
19.270,0.2500,0.9445,0.0425,Traveling to Crop Plot
19.320,0.2500,0.9431,0.0125,Traveling to Crop Plot
19.370,0.2500,0.9430,0.0000,Planting Seeds
19.420,0.2500,0.9430,0.0000,Planting Seeds
19.470,0.2500,0.9430,0.0000,Planting Seeds
19.520,0.2500,0.9430,0.0000,Planting Seeds
19.570,0.2500,0.9430,0.0000,Planting Seeds
19.620,0.2500,0.9430,0.0000,Planting Seeds
19.670,0.2500,0.9430,0.0000,Planting Seeds
19.720,0.2500,0.9430,0.0000,Planting Seeds
19.770,0.2500,0.9430,0.0000,Planting Seeds
19.820,0.2500,0.9430,0.0000,Planting Seeds
19.870,0.2500,0.9430,0.0000,Planting Seeds
19.920,0.2500,0.9430,0.0000,Planting Seeds
19.970,0.2500,0.9430,0.0000,Planting Seeds
20.020,0.2500,0.9430,0.0000,Planting Seeds
20.070,0.2500,0.9430,0.0000,Planting Seeds
20.120,0.2500,0.9430,0.0000,Planting Seeds
20.170,0.2500,0.9430,0.0000,Planting Seeds
20.220,0.2500,0.9430,0.0000,Planting Seeds
20.270,0.2500,0.9430,0.0000,Planting Seeds
20.320,0.2500,0.9430,0.0000,Planting Seeds
20.370,0.2500,0.9430,0.0000,Planting Seeds
20.420,0.2500,0.9430,0.0000,Planting Seeds
20.470,0.2500,0.9430,0.0000,Planting Seeds
20.520,0.2500,0.9430,0.0000,Planting Seeds
20.570,0.2500,0.9430,0.0000,Planting Seeds
20.620,0.2500,0.9430,0.0000,Planting Seeds
20.670,0.2500,0.9430,0.0000,Planting Seeds
20.720,0.2500,0.9430,0.0000,Planting Seeds
20.770,0.2500,0.9430,0.0000,Planting Seeds
20.820,0.2500,0.9430,0.0000,Planting Seeds
20.870,0.2500,0.9430,0.0000,Planting Seeds
20.920,0.2500,0.9430,0.0000,Planting Seeds
20.970,0.2500,0.9430,0.0000,Planting Seeds
21.020,0.2500,0.9430,0.0000,Planting Seeds
21.070,0.2500,0.9430,0.0000,Planting Seeds
21.120,0.2500,0.9430,0.0000,Planting Seeds
21.170,0.2500,0.9430,0.0000,Planting Seeds
21.220,0.2500,0.9430,0.0000,Planting Seeds
21.270,0.2500,0.9430,0.0000,Planting Seeds
21.320,0.2500,0.9430,0.0000,Planting Seeds
21.370,0.2500,0.9430,0.0000,Planting Seeds
21.420,0.2500,0.9430,0.0000,Planting Seeds
21.470,0.2500,0.9430,0.0000,Planting Seeds
21.520,0.2500,0.9430,0.0000,Planting Seeds
21.570,0.2500,0.9430,0.0000,Planting Seeds
21.620,0.2500,0.9430,0.0000,Planting Seeds
21.670,0.2500,0.9430,0.0000,Planting Seeds
21.720,0.2500,0.9430,0.0000,Planting Seeds
21.770,0.2500,0.9430,0.0000,Planting Seeds
21.820,0.2500,0.9430,0.0000,Planting Seeds
21.870,0.2500,0.9430,0.0000,Planting Seeds
21.920,0.2500,0.9430,0.0000,Planting Seeds
21.970,0.2500,0.9430,0.0000,Planting Seeds
22.020,0.2500,0.9430,0.0000,Planting Seeds
22.070,0.2500,0.9430,0.0000,Planting Seeds
22.120,0.2500,0.9430,0.0000,Planting Seeds
22.170,0.2500,0.9430,0.0000,Planting Seeds
22.220,0.2500,0.9430,0.0000,Planting Seeds
22.270,0.2500,0.9430,0.0000,Planting Seeds
22.320,0.2500,0.9430,0.0000,Planting Seeds
22.320,0.2500,0.9430,0.0000,Traveling to Crop Plot
22.370,0.2500,0.9422,0.0300,Traveling to Crop Plot
22.420,0.2500,0.9400,0.0600,Traveling to Crop Plot
22.470,0.2500,0.9362,0.0900,Traveling to Crop Plot
22.520,0.2500,0.9310,0.1200,Traveling to Crop Plot
22.570,0.2500,0.9242,0.1500,Traveling to Crop Plot
22.620,0.2500,0.9160,0.1800,Traveling to Crop Plot
22.670,0.2500,0.9062,0.2100,Traveling to Crop Plot
22.720,0.2500,0.8950,0.2400,Traveling to Crop Plot
22.770,0.2500,0.8822,0.2700,Traveling to Crop Plot
22.791,0.2500,0.8765,0.2825,Traveling to Crop Plot
22.841,0.2500,0.8631,0.2525,Traveling to Crop Plot
22.891,0.2500,0.8513,0.2225,Traveling to Crop Plot
22.941,0.2500,0.8409,0.1925,Traveling to Crop Plot
22.991,0.2500,0.8320,0.1625,Traveling to Crop Plot
23.041,0.2500,0.8246,0.1325,Traveling to Crop Plot
23.091,0.2500,0.8188,0.1025,Traveling to Crop Plot
23.141,0.2500,0.8144,0.0725,Traveling to Crop Plot
23.191,0.2500,0.8115,0.0425,Traveling to Crop Plot
23.241,0.2500,0.8101,0.0125,Traveling to Crop Plot
23.291,0.2500,0.8100,0.0000,Planting Seeds
23.341,0.2500,0.8100,0.0000,Planting Seeds
23.391,0.2500,0.8100,0.0000,Planting Seeds
23.441,0.2500,0.8100,0.0000,Planting Seeds
23.491,0.2500,0.8100,0.0000,Planting Seeds
23.541,0.2500,0.8100,0.0000,Planting Seeds
23.591,0.2500,0.8100,0.0000,Planting Seeds
23.641,0.2500,0.8100,0.0000,Planting Seeds
23.691,0.2500,0.8100,0.0000,Planting Seeds
23.741,0.2500,0.8100,0.0000,Planting Seeds
23.791,0.2500,0.8100,0.0000,Planting Seeds
23.841,0.2500,0.8100,0.0000,Planting Seeds
23.891,0.2500,0.8100,0.0000,Planting Seeds
23.941,0.2500,0.8100,0.0000,Planting Seeds
23.991,0.2500,0.8100,0.0000,Planting Seeds
